Server-Locale,Server-Response-Time,Server-Current-Load,IP-Locale,Last-Request-Time-Delta,Overloaded
Africa (AF),238,0,Africa (AF),178.43905091285706,False
Africa (AF),575,0,Africa (AF),178.4502468109131,False
Africa (AF),567,0,Africa (AF),178.46135592460632,False
Africa (AF),511,0,Africa (AF),178.47439789772034,False
Africa (AF),238,0,Africa (AF),0.48606109619140625,False
Africa (AF),575,0,Africa (AF),0.49705076217651367,False
Africa (AF),567,0,Africa (AF),0.5080959796905518,False
Africa (AF),511,0,Africa (AF),0.5194330215454102,False
Africa (AF),238,0,Africa (AF),0.5297651290893555,False
Africa (AF),575,0,Africa (AF),0.5401129722595215,False
Africa (AF),567,0,Africa (AF),0.5514960289001465,False
Africa (AF),511,0,Africa (AF),0.5623080730438232,False
Africa (AF),238,0,Africa (AF),0.5737090110778809,False
Africa (AF),575,0,Africa (AF),0.5842480659484863,False
Africa (AF),567,0,Africa (AF),0.5948748588562012,False
Africa (AF),511,0,Africa (AF),0.6070520877838135,False
Africa (AF),238,0,Africa (AF),0.6174459457397461,False
Africa (AF),575,0,Africa (AF),0.6280760765075684,False
Africa (AF),567,0,Africa (AF),0.640265941619873,False
Africa (AF),511,0,Africa (AF),0.6518599987030029,False
Africa (AF),238,0,Africa (AF),0.6640510559082031,False
Antarctica (AN),587,0,Antarctica (AN),118.6745069026947,False
Antarctica (AN),297,0,Antarctica (AN),118.68715691566467,False
Antarctica (AN),587,0,Antarctica (AN),0.6982440948486328,False
Antarctica (AN),297,0,Antarctica (AN),0.7350490093231201,False
Antarctica (AN),587,0,Antarctica (AN),0.7552518844604492,False
Antarctica (AN),297,0,Antarctica (AN),0.7681729793548584,False
Antarctica (AN),587,0,Antarctica (AN),0.782494068145752,False
Antarctica (AN),297,0,Antarctica (AN),0.7945399284362793,False
Antarctica (AN),587,0,Antarctica (AN),0.8104848861694336,False
Antarctica (AN),297,0,Antarctica (AN),0.8251240253448486,False
Antarctica (AN),587,0,Antarctica (AN),0.8365068435668945,False
Antarctica (AN),297,0,Antarctica (AN),0.8553099632263184,False
Antarctica (AN),587,0,Antarctica (AN),0.8766980171203613,False
Antarctica (AN),297,0,Antarctica (AN),0.8896389007568359,False
Antarctica (AN),587,0,Antarctica (AN),0.9012811183929443,False
Antarctica (AN),297,0,Antarctica (AN),0.9129750728607178,False
Antarctica (AN),587,0,Antarctica (AN),0.9245970249176025,False
Antarctica (AN),297,0,Antarctica (AN),0.937061071395874,False
Antarctica (AN),587,0,Antarctica (AN),0.9474701881408691,False
Antarctica (AN),297,0,Antarctica (AN),0.9594459533691406,False
Antarctica (AN),587,0,Antarctica (AN),0.9719350337982178,False
Antarctica (AN),297,0,Antarctica (AN),0.9822850227355957,False
Antarctica (AN),587,0,Antarctica (AN),0.9925479888916016,False
Antarctica (AN),297,0,Antarctica (AN),1.0053880214691162,False
Antarctica (AN),587,98,Antarctica (AN),0.01599597930908203,True
Antarctica (AN),297,97,Antarctica (AN),0.026185989379882812,True
Antarctica (AN),587,194,Antarctica (AN),0.03643012046813965,True
Antarctica (AN),297,192,Antarctica (AN),0.048995018005371094,True
Antarctica (AN),587,97,Antarctica (AN),0.060437917709350586,True
Antarctica (AN),297,96,Antarctica (AN),0.07395291328430176,True
Antarctica (AN),587,48,Antarctica (AN),0.08535599708557129,True
Antarctica (AN),297,48,Antarctica (AN),0.09797811508178711,True
Antarctica (AN),587,24,Antarctica (AN),0.10871195793151855,False
Antarctica (AN),297,24,Antarctica (AN),0.11945700645446777,False
Antarctica (AN),587,12,Antarctica (AN),0.12992405891418457,False
Antarctica (AN),297,12,Antarctica (AN),0.14266490936279297,False
Antarctica (AN),587,6,Antarctica (AN),0.15369606018066406,False
Antarctica (AN),297,6,Antarctica (AN),0.16385889053344727,False
Antarctica (AN),587,3,Antarctica (AN),0.1747589111328125,False
Antarctica (AN),297,3,Antarctica (AN),0.1866319179534912,False
Antarctica (AN),587,1,Antarctica (AN),0.19679784774780273,False
Antarctica (AN),297,1,Antarctica (AN),0.20764803886413574,False
Antarctica (AN),587,0,Antarctica (AN),0.21949100494384766,False
Antarctica (AN),297,0,Antarctica (AN),0.22997188568115234,False
Antarctica (AN),587,0,Antarctica (AN),0.240617036819458,False
Antarctica (AN),297,0,Antarctica (AN),0.25270915031433105,False
Antarctica (AN),587,0,Antarctica (AN),0.26480698585510254,False
Antarctica (AN),297,0,Antarctica (AN),0.27506399154663086,False
Antarctica (AN),587,0,Antarctica (AN),0.2852349281311035,False
Antarctica (AN),297,0,Antarctica (AN),0.2953910827636719,False
Antarctica (AN),587,0,Antarctica (AN),0.30570006370544434,False
Antarctica (AN),297,0,Antarctica (AN),0.31589412689208984,False
Antarctica (AN),587,0,Antarctica (AN),0.329819917678833,False
Antarctica (AN),297,0,Antarctica (AN),0.34031009674072266,False
Antarctica (AN),587,0,Antarctica (AN),0.3507049083709717,False
Antarctica (AN),297,0,Antarctica (AN),0.36328601837158203,False
Antarctica (AN),587,0,Antarctica (AN),0.373507022857666,False
Antarctica (AN),297,0,Antarctica (AN),0.38568806648254395,False
Antarctica (AN),587,0,Antarctica (AN),0.3968360424041748,False
Antarctica (AN),297,0,Antarctica (AN),0.4079868793487549,False
Antarctica (AN),587,0,Antarctica (AN),0.4201040267944336,False
Antarctica (AN),297,0,Antarctica (AN),0.43041515350341797,False
Antarctica (AN),587,0,Antarctica (AN),0.44069409370422363,False
Antarctica (AN),297,0,Antarctica (AN),0.45143699645996094,False
Antarctica (AN),587,0,Antarctica (AN),0.46387195587158203,False
Antarctica (AN),297,0,Antarctica (AN),0.4754769802093506,False
Antarctica (AN),587,0,Antarctica (AN),0.4866669178009033,False
Antarctica (AN),297,0,Antarctica (AN),0.49701809883117676,False
Antarctica (AN),587,0,Antarctica (AN),0.5086050033569336,False
Antarctica (AN),297,0,Antarctica (AN),0.5214519500732422,False
Antarctica (AN),587,0,Antarctica (AN),0.5323431491851807,False
Antarctica (AN),297,0,Antarctica (AN),0.5430028438568115,False
Antarctica (AN),587,0,Antarctica (AN),0.5547730922698975,False
Antarctica (AN),297,0,Antarctica (AN),0.565903902053833,False
Antarctica (AN),587,0,Antarctica (AN),0.578498125076294,False
Antarctica (AN),297,0,Antarctica (AN),0.5898449420928955,False
Antarctica (AN),587,0,Antarctica (AN),0.5999560356140137,False
Antarctica (AN),297,0,Antarctica (AN),0.6123199462890625,False
Antarctica (AN),587,0,Antarctica (AN),0.622654914855957,False
